,min,max,median,mean,mode,std,skew
headline_cpi,0.0,10.7,2.0,2.301075268817204,1.5,1.8507633339209169,2.4088336958695247
core_cpi,-4.1,9.8,2.6,1.9827956989247315,-0.0,2.9607440184166536,0.08233356160816455
inf_expectation,1.5,4.9,2.7,2.8258064516129036,2.2,0.721547736497649,0.9257511123774532
gdp,-59.7,86.1,2.4,2.31505376344086,2.8,11.635832458743451,2.5837804358596004
output_gap,-4.44,2.55,-0.29,-0.7978494623655913,-4.44,1.93657465951476,-0.3351717572193362
unemployment,3.8,8.4,5.2,5.581720430107526,5.2,1.3293465407255338,0.8023459319786591
