,min,max,median,mean,mode,std,skew
headline_cpi,0.0,10.7,2.1,2.5103092783505154,1.5,2.124827666349403,2.1131179689975226
core_cpi,-4.1,14.3,2.6,2.131958762886598,-0.0,3.1917715297749285,0.5286288853798013
inf_expectation,1.5,4.9,2.7,2.856701030927835,2.2,0.723404453564136,0.8098440945203417
gdp,-59.7,86.1,2.4,2.207216494845361,2.8,11.403464819068155,2.6579389404927816
potential_gdp,0.1147849186031603,4.507450708070216,2.1835353072346027,2.222684388998183,0.1147849186031603,1.1304918793621042,-0.03525127418461564
output_gap,-6895.317795159586,1927.9514623254167,4.351891242946744,-151.3442980798143,-100.0,1061.4800918560109,-5.034694866891009
unemployment,3.8,8.4,5.2,5.517525773195875,5.2,1.3383766838100262,0.8303233060175995
