potential_gdp,output_gap
3.385729902677812,68.35365383079748
3.33038030747509,47.13034391303223
3.2686228983092227,-14.337013258752787
3.2032376941410736,-25.075806756715142
3.136711824620064,-23.486755105700492
3.071030395836777,17.224499141406003
3.007718068991412,-46.80352468885046
2.9486301112867688,-32.17189255632986
2.8947419661325284,-58.54552792478288
2.8464361831188185,-57.84201988729749
2.8030360981069316,-28.648796162463725
2.7628360243437133,1.3451386665306875
2.723628377514694,17.49033114862735
2.6832288007901868,4.351891242946744
2.6397506696045596,36.37651621618067
2.5913803413916856,38.922100414894764
2.5369043294169344,26.137984901285865
2.475739534232307,-35.37284605764725
2.4077172911839195,-0.32052314497957024
2.3321215984089934,-31.39294275686384
2.2482316307377608,-11.041194659124299
2.154868987001448,29.93829401648529
2.0507001212620724,56.04426833654297
1.934794694464774,65.39222529164638
1.8069406799789045,99.23177555790204
1.6677168044897757,19.92443768724173
1.5188224567577113,5.344768434329157
1.36216470254023,-11.904926198558623
1.1997013435593753,66.70815705400737
1.033288828598104,248.4021021386862
0.8652837930996469,223.59325603103593
0.699647066989362,300.2017777404008
0.5415486778219193,343.1734575832916
0.3974713737351212,403.1808910426892
0.2750594349431311,-827.1155779162791
0.18295872205152824,-3324.771103472363
0.12839318351905227,-6408.746132771168
0.11478491860316031,-6895.317795159586
0.14041328082161053,-954.6200138465193
0.19861088311803377,101.39883259180786
0.2818725801355474,325.7242756365099
0.3828190947153196,840.3919631221927
0.4946449793359341,809.7433892973695
0.6125555245417774,291.80121700727807
0.7342593677651514,-45.523337180229525
0.858582299235519,39.765285292799426
0.9841411970774899,-59.35542570640862
1.1097663254786525,8.130871558247078
1.2339228603784211,-67.5830626983175
1.355132373762787,165.65670407562507
1.4713952358300042,-127.18508190454773
1.5821148590447256,159.14679813294734
1.6855250338492098,-123.73147784619522
1.781433228898813,-32.638508110585995
1.8683434597027349,49.86537863040971
1.944396346002112,64.575499567233
2.0083147928757676,39.420374232796135
2.0596064576862716,55.369487605648125
2.098273801050646,71.56960155521223
2.1250320295498595,50.58596555261563
2.1415349286392242,30.74734213086956
2.1501081387555843,-44.18885365019256
2.153488841005383,11.447059966167746
2.1538203989083424,-25.713397421114802
2.1534002454585544,11.451645139426162
2.1541796759007936,-25.72578704090954
2.1582641103264244,11.200477667073583
2.1674126065293704,-26.179261153138512
2.1835353072346027,9.913496340003993
2.2081877222880113,44.915215663110544
2.243060651968464,6.996660919258211
2.2904647792284,4.782226811123438
2.352808874112777,19.00669156800315
2.4325701661795347,-83.55648665098042
2.5325053794402934,-68.41072850250738
2.654100881552809,-54.786948441163716
2.797760224312687,-85.70284913896558
2.96297814646456,-5.500484256322532
3.147750786612868,-61.877541096852276
3.349972422020508,-16.417222374887398
3.5663199857087466,-100.0
3.7931266779350867,-374.1801390525028
4.024496748965963,-1583.415287025367
4.245663744894101,1927.9514623254172
4.40203340134412,29.485614494873168
4.490170414100083,-186.85639163612092
4.507450708070216,623.2469551277046
4.446006351653926,57.44466935806292
4.3155272565580765,41.350051508310024
4.127299580519748,-32.15903170160965
3.8937247767406697,-69.18118077661136
3.6263747361847463,-88.9697003453969
3.335137771830418,-64.01947739204171
3.0278857124460066,-86.78946175690135
2.7111559256924416,-100.0
2.3898433506603727,-116.73749871051047
2.067148453986893,-158.0509831156814
