,year,quarter,spec3_pred
0,1999,4,1.184932607778168
1,2000,1,2.028412039905535
2,2000,2,2.133846968921456
3,2000,3,1.9229771108896145
4,2000,4,2.028412039905535
5,2001,1,1.8175421818736932
6,2001,2,1.8175421818736932
7,2001,3,1.9229771108896145
8,2001,4,1.6066723238418514
9,2002,1,1.9229771108896145
10,2002,2,2.028412039905535
11,2002,3,1.8175421818736932
12,2002,4,1.9229771108896145
13,2003,1,2.239281897937377
14,2003,2,1.9229771108896145
15,2003,3,1.9229771108896145
16,2003,4,2.344716826953298
17,2004,1,2.133846968921456
18,2004,2,2.133846968921456
19,2004,3,2.028412039905535
20,2004,4,2.028412039905535
21,2005,1,1.9229771108896145
22,2005,2,1.7121072528577723
23,2005,3,1.9229771108896145
24,2005,4,1.9229771108896145
25,2006,1,2.4501517559692187
26,2006,2,2.239281897937377
27,2006,3,2.239281897937377
28,2006,4,2.4501517559692187
29,2007,1,2.4501517559692187
30,2007,2,2.4501517559692187
31,2007,3,2.4501517559692187
32,2007,4,2.7664565430169814
33,2008,1,3.082761330064744
34,2008,2,4.137110620223953
35,2008,3,4.242545549239875
36,2008,4,2.5555866849851396
37,2009,1,1.8175421818736932
38,2009,2,2.133846968921456
39,2009,3,2.133846968921456
40,2009,4,2.133846968921456
41,2010,1,2.239281897937377
42,2010,2,3.082761330064744
43,2010,3,3.188196259080665
44,2010,4,3.7153709041602694
45,2011,1,3.8208058331761903
46,2011,2,3.7153709041602694
47,2011,3,4.031675691208032
48,2011,4,3.926240762192111
49,2012,1,3.293631188096586
50,2012,2,3.5045010461284276
51,2012,3,2.977326401048823
52,2012,4,3.293631188096586
53,2013,1,3.3990661171125067
54,2013,2,3.3990661171125067
55,2013,3,2.977326401048823
56,2013,4,3.3990661171125067
57,2014,1,2.5555866849851396
58,2014,2,2.344716826953298
59,2014,3,2.5555866849851396
60,2014,4,2.239281897937377
61,2015,1,1.6066723238418514
62,2015,2,1.9229771108896145
63,2015,3,1.7121072528577723
64,2015,4,1.7121072528577723
65,2016,1,1.5012373948259305
66,2016,2,1.7121072528577723
67,2016,3,1.9229771108896145
68,2016,4,2.5555866849851396
69,2017,1,2.6610216140010605
70,2017,2,2.5555866849851396
71,2017,3,2.5555866849851396
72,2017,4,2.6610216140010605
73,2018,1,2.6610216140010605
74,2018,2,2.6610216140010605
75,2018,3,2.7664565430169814
76,2018,4,2.977326401048823
77,2019,1,2.977326401048823
78,2019,2,2.8718914720329023
79,2019,3,3.082761330064744
80,2019,4,2.8718914720329023
81,2020,1,2.7664565430169814
82,2020,2,2.6610216140010605
83,2020,3,2.5555866849851396
84,2020,4,2.4501517559692187
85,2021,1,2.4501517559692187
86,2021,2,2.133846968921456
87,2021,3,2.4501517559692187
88,2021,4,2.977326401048823
89,2022,1,4.137110620223953
90,2022,2,4.453415407271716
91,2022,3,4.769720194319479
92,2022,4,4.664285265303557
