DATE,GBRCPHPLA01GPM
1988-02-01,0.378071833648394
1988-03-01,0.56497175141243
1988-04-01,1.12359550561798
1988-05-01,0.555555555555556
1988-06-01,0.368324125230203
1988-07-01,0.18348623853211
1988-08-01,0.366300366300346
1988-09-01,0.547445255474473
1988-10-01,0.544464609800363
1988-11-01,0.36101083032491
1988-12-01,0.179856115107914
1989-01-01,0.0
1989-02-01,0.359066427289049
1989-03-01,0.357781753130591
1989-04-01,1.4260249554367
1989-05-01,0.351493848857665
1989-06-01,0.350262697022748
1989-07-01,0.0
1989-08-01,0.349040139616076
1989-09-01,0.695652173913025
1989-10-01,0.69084628670121
1989-11-01,0.343053173241853
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,0.683760683760684
1990-03-01,0.509337860781004
1990-04-01,1.68918918918919
1990-05-01,0.830564784053157
1990-06-01,0.329489291598005
1990-07-01,0.0
1990-08-01,0.656814449917899
1990-09-01,0.978792822185972
1990-10-01,0.807754442649435
1990-11-01,0.320512820512821
1990-12-01,0.159744408945687
1991-01-01,-0.318979266347688
1991-02-01,0.64
1991-03-01,0.476947535771066
1991-04-01,3.00632911392404
1991-05-01,0.76804915514593
1991-06-01,0.457317073170749
1991-07-01,-0.303490136570562
1991-08-01,0.913242009132421
1991-09-01,0.603318250377074
1991-10-01,0.599700149925021
1991-11-01,0.298062593144561
1991-12-01,0.148588410104029
1992-01-01,-0.593471810089021
1992-02-01,0.447761194029835
1992-03-01,0.594353640416065
1992-04-01,1.03397341211226
1992-05-01,0.292397660818697
1992-06-01,0.145772594752203
1992-07-01,-0.436681222707424
1992-08-01,0.292397660818697
1992-09-01,0.583090379008763
1992-10-01,0.144927536231868
1992-11-01,0.0
1992-12-01,-0.14471780028942
1993-01-01,-0.724637681159421
1993-02-01,0.437956204379546
1993-03-01,0.581395348837226
1993-04-01,1.15606936416185
1993-05-01,0.285714285714286
1993-06-01,0.0
1993-07-01,-0.284900284900285
1993-08-01,0.571428571428572
1993-09-01,0.710227272727273
1993-10-01,0.0
1993-11-01,-0.141043723554318
1993-12-01,0.0
1994-01-01,-0.847457627118629
1994-02-01,0.569800569800554
1994-03-01,0.424929178470271
1994-04-01,0.564174894217192
1994-05-01,0.280504908835905
1994-06-01,-0.139860139860124
1994-07-01,-0.700280112044818
1994-08-01,0.564174894217192
1994-09-01,0.420757363253857
1994-10-01,0.0
1994-11-01,0.139664804469289
1994-12-01,0.139470013946986
1995-01-01,-0.557103064066837
1995-02-01,0.420168067226891
1995-03-01,0.55788005578799
1995-04-01,0.693481276005548
1995-05-01,0.275482093663912
1995-06-01,0.274725274725275
1995-07-01,-0.684931506849316
1995-08-01,0.413793103448276
1995-09-01,0.686813186813188
1995-10-01,-0.136425648021813
1995-11-01,0.273224043715847
1995-12-01,0.136239782016334
1996-01-01,-0.81632653061223
1996-02-01,0.548696844993126
1996-03-01,0.409276944065485
1996-04-01,0.543478260869566
1996-05-01,0.27027027027027
1996-06-01,0.134770889487871
1996-07-01,-0.538358008075356
1996-08-01,0.405953991880905
1996-09-01,0.673854447439354
1996-10-01,0.133868808567604
1996-11-01,0.133689839572207
1996-12-01,0.267022696929224
1997-01-01,-0.932090545938734
1997-02-01,0.403225806451598
1997-03-01,0.535475234270416
1997-04-01,0.399467376830907
1997-05-01,0.265251989389906
1997-06-01,0.0
1997-07-01,-0.52910052910053
1997-08-01,0.531914893617022
1997-09-01,0.52910052910053
1997-10-01,0.131578947368421
1997-11-01,0.39421813403418
1997-12-01,0.130890052356007
1998-01-01,-1.04575163398693
1998-02-01,0.396301188903567
1998-03-01,0.394736842105264
1998-04-01,0.393184796854522
1998-05-01,0.391644908616203
1998-06-01,-0.130039011703526
1998-07-01,-0.781250000000001
1998-08-01,0.393700787401575
1998-09-01,0.784313725490182
1998-10-01,-0.129701686121905
1998-11-01,0.25974025974026
1998-12-01,0.259067357512954
1999-01-01,-1.03359173126615
1999-02-01,0.261096605744126
1999-03-01,0.260416666666667
1999-04-01,0.38961038961039
1999-05-01,0.258732212160414
1999-06-01,0.0
1999-07-01,-0.903225806451614
1999-08-01,0.260416666666667
1999-09-01,0.64935064935065
1999-10-01,-0.129032258064516
1999-11-01,0.129198966408269
1999-12-01,0.129032258064502
2000-01-01,-1.28865979381442
2000-02-01,0.391644908616203
2000-03-01,0.260078023406993
2000-04-01,0.259403372243854
2000-05-01,0.258732212160414
2000-06-01,-0.129032258064516
2000-07-01,-0.904392764857882
2000-08-01,0.391134289439374
2000-09-01,0.779220779220766
2000-10-01,0.0
2000-11-01,0.128865979381458
2000-12-01,0.128700128700129
2001-01-01,-1.02827763496144
2001-02-01,0.25974025974026
2001-03-01,0.38860103626943
2001-04-01,0.516129032258065
2001-05-01,0.513478818998717
2001-06-01,0.127713920817369
2001-07-01,-0.637755102040817
2001-08-01,0.641848523748396
2001-09-01,0.255102040816313
2001-10-01,-0.127226463104312
2001-11-01,0.127388535031833
2001-12-01,0.254452926208666
2002-01-01,-0.634517766497462
2002-02-01,0.127713920817369
2002-03-01,0.38265306122449
2002-04-01,0.381194409148666
2002-05-01,0.379746835443038
2002-06-01,0.12610340479193
2002-07-01,-0.377833753148629
2002-08-01,0.379266750948181
2002-09-01,0.251889168765729
2002-10-01,0.251256281407049
2002-11-01,0.0
2002-12-01,0.501253132832081
2003-01-01,-0.87281795511222
2003-02-01,0.251572327044025
2003-03-01,0.250941028858218
2003-04-01,0.375469336670839
2003-05-01,0.124688279301732
2003-06-01,-0.124533001245316
2003-07-01,-0.12468827930176
2003-08-01,0.374531835206007
